conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,definition,inScheme,description,code,courseTopicSimilarity
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3be79ccc-a455-49b9-8c65-55c50071ba5b,knowledge,sector-specific,distributed ledger technology,principles of distributed ledger technology,,released,2023-11-09T14:10:52.023Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The distributed ledger theories, applied principles, architectures and systems, such as decentralization, consensus mechanisms, smart contracts, trust, etc.",0619,0.5643523
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3c134a08-521f-489d-9ff0-d84fcdc963eb,skill/competence,sector-specific,create SCORM packages,"develop SCORM packages
build SCORM packages
generate SCORM packages",,released,2025-06-25T12:15:04.406Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Develop educational packages for e-learning platforms using the Sharable Content Object Reference Model (SCORM) standard.,S4.1.6,0.4769581
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3c1af34b-4562-4c39-a30e-0812b84a147e,skill/competence,cross-sector,use specialised design software,"use specialized design software
using specialised design software
work with specialised design software
utilize specialised design software",,released,2022-07-05T14:33:28.658Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Developing new designs mastering specialised software.,S5.6.3,0.46724838
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3cc1ee94-ab2c-4f35-8171-3cf4b5b664e4,knowledge,cross-sector,digital compositing,"digital compositing process
image compositing",,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The process and software for digitally assembling multiple images to make one, final image.",0211,0.45310915
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3d957fb2-b8f4-4b4c-b955-23299c761ad5,skill/competence,cross-sector,design web-based courses,"prepare online classes
design online classes",,released,2025-06-25T12:15:04.406Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Create web-based training and instruction courses using dynamic and static online tools to deliver learning outcomes to the audience of the course. Web tools used here can include streaming video and audio, live internet broadcasts, information portals, chatrooms and bulletin boards.",S1.11.1,0.4823532
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3e2ab38a-4519-4bef-b762-a8bf4836a775,skill/competence,cross-sector,perform dimensionality reduction,"data feature engineering
t-distributed stochastic neighbor embedding
data feature extraction
data feature selection
multidimensional scaling
t-SNE
Kohonen self-organizing map",,released,2022-07-05T14:37:59.932Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Reduce the number of variables or features for a dataset in machine learning algorithms through methods such as principal component analysis, matrix factorization, autoencoder methods, and others.",S5.1.0,0.4931005
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3ec2e4d6-7000-4905-bf1a-c5b1679416de,knowledge,occupation-specific,data warehouse,"enterprise data storage
data warehouse solutions
data repository",,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",The data storage system that analyses and reports on data such as a data mart.,0612,0.5419667
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3ff589b7-68df-4ea5-ae41-b395bdb2378f,knowledge,sector-specific,ICT security standards,"ICT security compliances
cyber security frameworks
IT security frameworks
cyber security compliances
ICT security frameworks
information security compliances
information security frameworks
cyber security standards
IT security compliances
IT security standards
information security standards",,released,2025-02-27T12:45:08.961Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Best practices and guidelines established for securing information and communication technology (ICT) systems and data. Standards as is the case of ISO 27000 series, provide a framework for implementing effective security controls, including access control, risk assessment and incident management, as well as to provide compliance of anorganisation.",0612,0.48865962
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/401eb8d8-6daa-4f8b-90ad-60afc71eb4f8,knowledge,sector-specific,Perl,"Practical Extraction and Report Language
PONIE","PONIE
Practical Extraction and Report Language",released,2025-02-27T12:45:08.961Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Perl.",0613,0.50756115
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db,skill/competence,cross-sector,demonstrate disciplinary expertise,"exhibit academic proficiency
demonstrate complex understanding of a research area
demonstrate deep knowledge of a research area
demonstrate deep knowledge of a specific research area
demonstrate complex understanding of a specific research area",,released,2024-02-23T16:39:48.713Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/research","Demonstrate deep knowledge and complex understanding of a specific research area, including responsible research, research ethics and scientific integrity principles, privacy and GDPR requirements, related to research activities within a specific discipline.",S2.1.0,0.45303047
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/41ec47dd-08b3-464a-9c45-c706f3e74467,knowledge,cross-sector,industrial software,"software for production processes
software for manufacturing
manufacturing software
continuing professional development in industrial tools and software
scheduling software
software for engineering applications
industrial application of software
software used in industrial",,released,2025-12-15T10:30:57.621Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The selection of software that aids in estimating, managing and scheduling industrial processes such as design, work flow and production improvement.",0611,0.49847788
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4216e465-7baa-4884-a241-54b197bb9278,skill/competence,sector-specific,perform data mining,"mine data
use model data",,released,2024-02-09T17:29:15.968Z,Includes activities on big data.,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Explore large datasets to reveal patterns using statistics, database systems or artificial intelligence and present the information in a comprehensible way.",S5.5.2,0.48672253
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/42ed3bfb-1a01-4c8b-9758-fc6438865734,knowledge,sector-specific,Smalltalk (computer programming),"Smalltalk programming system
Smalltalk",,released,2024-02-26T15:03:18.995Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Smalltalk.",0613,0.53002584
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4339176e-3acd-4f7f-a5d9-445bee3d23f2,knowledge,cross-sector,mathematics,"numeracy
quantitative data
solid modeling
mathematical subjects
field of mathematics
study of mathematics
maths
calculation",,released,2025-02-27T12:45:08.961Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Mathematics is the study of topics such as quantity, structure, space, and change. It involves the identification of patterns and formulating new conjectures based on them. Mathematicians strive to prove the truth or falsity of these conjectures. There are many fields of mathematics, some of which are widely used for practical applications.",T1.2,0.5128456
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/434fb032-3c05-45bd-aaf2-09468ee34d7f,skill/competence,sector-specific,identify research topics,"establish research topics
analyse research topics
determine research proposals
classify research proposals
classify research topics
establish research proposals
analyse research proposals
determine research topics",,released,2024-02-09T17:29:11.47Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Determine issues on social, economic or political level in order to explore them and to do research on them.",S2.1.1,0.49121463
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/438ff259-d086-4004-acda-1ec3e1631bc6,knowledge,sector-specific,software anomalies,"software performance incidents
software behaviour deviations
software performance deviations
software bugs
software defects",,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The deviations of what is standard and exceptional events during software system performance, identification of incidents that can alter the flow and the process of system execution.",0613,0.5080245
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576,knowledge,cross-sector,database,"non-relational database
types of databases
relational database",,released,2025-02-27T12:45:08.961Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The classification of databases, that includes their purpose, characteristics, terminology, models and use such as XML databases, document-oriented databases and full text databases.",0612,0.6864189
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/43ec6db6-33f7-449b-a566-5779a7e8997a,knowledge,sector-specific,OpenEdge Database,"OpenEdge RDBMS Advanced Enterprise Edition
OpenEdge RDBMS
Progress OpenEdge Relational Database Management System",,released,2024-02-09T17:29:09.851Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The computer program OpenEdge Database is a tool for creating, updating and managing databases, developed by the software company Progress Software Corporation.",0612,0.5795687
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4463a721-69f3-413d-8321-43e3af13a4f1,skill/competence,cross-sector,use databases,"use database management systems
use database software
apply databases
use data bases
use Dbs
able to use using databases
use database
utilise databases
make use of databases",,released,2024-02-09T17:29:09.009Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Use software tools for managing and organising data in a structured environment which consists of attributes, tables and relationships in order to query and modify the stored data.",S5.5.2,0.716259
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/446d29ed-9eaa-4798-bb91-5f196651ad0a,skill/competence,occupation-specific,create game testing software,"create software to test games
design testing software for games
develop game testing software
create software for game testing",,released,2024-02-09T17:29:12.952Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Develop software to test and evaluate online and land-based gambling, betting and lottery games.",S4.2.5,0.48877245
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4503c65f-2bd0-4aa5-91cd-4188c7e5e31b,knowledge,sector-specific,supercomputing,supercomputing techniques,,released,2023-11-03T10:00:17.205Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The process of dealing with complex data-related problems through multiple computers working in parallel (i.e., a supercomputer). It is used in several fields such as quantum mechanics, molecular modeling, aerodynamics and nuclear fusion research.",0611,0.54614174
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/45f1ae17-c20d-40fc-9307-7d33b6ca9213,knowledge,cross-sector,image recognition,"image interpretation
image detection
visual recognition
visual detection",,released,2023-11-29T16:28:36.358Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","A process designed to detect and identify a feature or object in an image or video. This process is used in medical imaging, security surveillance or defect detection, among other fields. Key technique for a wide range of applications such as automated driving, image classification, or visual inspection.",0619,0.4922678
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/46e93774-7c6a-4dc5-bae9-be97cc461093,knowledge,sector-specific,inter-organisational middleware system,IOMS,Microsoft BizTalk Server,released,2023-11-29T16:28:48.808Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","A software infrastructure that acts as an intermediary layer between applications to enable data exchange, interoperability and communication. It aims to provide standardised protocols and services between organisations to promote their interaction.",0612,0.51909685
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4754d9fe-dc3a-4f8f-8ea6-5dbcea3a21ca,skill/competence,cross-sector,develop computer vision system,"develop OCR
develop motion capture software",,released,2024-01-16T16:48:51.957Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Apply and combine different computer vision tools and methods such as image acquisition, image processing, image segmentation and classification, detection, etc. in one system to allow computers to extract information from digital images such as photographs or video.",S5.1.0,0.5834936
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/47a2917b-a771-4687-90fc-5562523cf4a6,skill/competence,occupation-specific,use performance 3D visualisation techniques,"apply performance 3D visualisation techniques
employ 3D visualization for performance evaluation",,released,2024-03-01T12:10:23.365Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Visualise a performance environment using 3D applications and pre-visualisation software. Create a proof of concept for the technical design using 3D CGI, mock-up or scale model.",S5.6.4,0.51255155
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/47b9bbcf-356c-4782-83a4-7f5a1b2b51a3,knowledge,sector-specific,Assembly (computer programming),"Assembly computer programming paradigms
Assembly software development techniques
Assembly software development principles
Assembly
Assembly algorithms",,released,2024-02-26T08:02:07.379Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Assembly.",0613,0.6266049
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4840338b-ac6c-486a-be1d-9ddfe00b8bdf,knowledge,sector-specific,Spiral development,Spiral development methodology,,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",The spiral development model is a methodology to design software systems and applications.,0413,0.5687152
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/484d048c-a5d1-46a5-b57f-45b69c0ac552,skill/competence,sector-specific,analyse pipeline database information,"evaluate pipeline database information
perform analysis on pipeline database information
analyze pipeline database information
evaluate information in pipeline databases
retrieve and assess information from pipeline company database
conduct analysis on pipeline database information
retrieve and analyse information from pipeline company database
analyse information in pipeline databases
assess information in pipeline databases
assess pipeline database information",,released,2022-07-05T14:38:14.9Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Retrieve and analyse different types of information extracted from the databases of pipelines companies. Analyse information such as risks, project management KPIs (key performance indicators), goods transportation times, and document back-up processes.",T2.2,0.46100628
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/489b2571-ce18-4944-b452-ed1f54e55b68,knowledge,sector-specific,Schoology,Schoology e-learning platform,,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The computer program Schoology is a e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs.",0413,0.56082845
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/48db96bf-3314-45c6-bad8-fdb6e20e5639,knowledge,cross-sector,data engineering,data engineering methods,,released,2023-11-29T16:26:35.334Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",The process of developing and constructing systems for implementing data collection and analysis at large scale.,0611,0.5690407
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4918ec9a-0204-4935-8b09-b0112370daa8,skill/competence,sector-specific,establish an Information Security Management System,"apply an ISMS
define an ISMS
implement an ISMS
define an Information Security Management System
monitor an ISMS
apply an Information Security Management System
implement an Information Security Management System;
monitor an Information Security Management System",,released,2024-01-29T11:17:09.455Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Design, apply, monitor and review an Information Security Management System (ISMS) that preserves the confidentiality, integrity and availability of information by applying a risk management process, and gives confidence to interested parties regarding the adequate management of such cybersecurity-related risks.",071,0.46653426
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/495ce586-09d7-4cec-83d7-2821be6590c4,knowledge,sector-specific,smart contract programming languages,programming languages for smart contract,,released,2023-11-29T16:30:42.402Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Essential Smart Contract programming languages include Solidity, Rust, JavaScript, Vyper and Yul.",0613,0.5004575
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4c016b68-4116-468c-9dc6-42710c239e4a,knowledge,sector-specific,C#,C Sharp,,released,2024-02-09T17:29:13.7Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in C#.",0613,0.5865199
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4ce06d6b-f3df-40b6-b950-570be5008032,skill/competence,sector-specific,analyse scanned data of the body,"use 3D scanned data for computer-aided visualization
analyse scanned body data
analyse 3D scanner data of the body
analyze scanned data of the body
analyse 3D scanner body data
examine and use scanned body data
use 3D scanned data for computer-aided visualisation
examine and use scanned data of the body
examine scanned data of the body
examine scanned body data",,released,2022-07-05T14:38:14.433Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Analyse 3D scanned data for the development of prototypes, of avatars, for the creation of size charts, the garment pattern modification, alteration and manipulation, and for testing fit.",S5.5.2,0.4626506
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4d614c92-0c48-4a11-a5ed-416b34fd50d2,skill/competence,cross-sector,manage healthcare users' data,"handle patients documentation
manage patients' records and data
manage data of healthcare user
maintain patients' records and data",,released,2024-02-09T17:29:12.215Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Keep accurate client records which also satisfy legal and professional standards and ethical obligations in order to facilitate client management, ensuring that all clients' data (including verbal, written and electronic) are treated confidentially.",S2.2.4,0.45413914
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4d85b881-e490-4b4c-897a-2faa4ef53956,skill/competence,sector-specific,manage ICT data architecture,define enterprise data architecture,,released,2024-02-09T17:29:16.725Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Oversee regulations and use ICT techniques to define the information systems architecture and to control data gathering, storing, consolidation, arrangement and usage in an organisation.",S1.11.1,0.50247145
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4d97e3c3-f335-47cc-a4ee-0d779fd42222,skill/competence,cross-sector,"manage data, information and digital content","manage digital content information
manage digital data",,released,2024-02-09T17:29:12.952Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036,
http://data.europa.eu/esco/concept-scheme/digcomp","Organise, store and retrieve data, information and content in digital environments. Organise and process them in a structured environment.",S5.5.0,0.57014805
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4da4587a-fd0b-4ca2-886c-c42a1562d432,skill/competence,sector-specific,design cloud networks,"create cloud network
implement cloud network",,released,2022-07-05T14:34:46.63Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Apply cloud networking concepts and implement connectivity services of cloud. Given customer requirements, define network architectures on cloud, propose optimized designs based on the evaluation of an existing implementation. Evaluate and optimize cost allocations given a network design, its cloud resources, and application data flow.",S1.11.1,0.45610976
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4f5c1208-62fd-4e5a-a51e-306c06947e11,skill/competence,cross-sector,manage findable accessible interoperable and reusable data,"ensure data availability
ensure data reusability
support data reuse in research
ensure corrected data storing",,released,2022-07-05T14:37:59.932Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/research,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Produce, describe, store, preserve and (re) use scientific data based on FAIR (Findable, Accessible, Interoperable, and Reusable) principles, making data as open as possible, and as closed as necessary.",S2.3.0,0.5251404
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4f6e68b2-85c8-446e-a96d-b306ec7e0091,knowledge,cross-sector,training subject expertise,"training subject methods
training subject knowledge and methods",,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","The topic, content and methods of the training, acquired by doing research and following training courses.",0114,0.47610158
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b,knowledge,sector-specific,R,R software,,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in R.",0542,0.5270871
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/517f678e-001b-4985-acb4-9edc3500d74c,skill/competence,sector-specific,develop training programmes,"create training programmes
develop training programme
developing training programmes
design training programmes
develop programmes for training",,released,2024-02-09T17:29:12.952Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Design programmes where employees or future employees are taught the necessary skills for the job or to improve and expand skills for new activities or tasks. Select or design activities aimed at introducing the work and systems or improving the performance of individuals and groups in organisational settings.,T4.2,0.4654035
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/52845dce-98ba-48b5-8abc-09a2c580be28,knowledge,occupation-specific,colour grading,"color grading
knowledge of colour grading
altering and enhancing colour",,released,2024-02-29T16:53:20.476Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","The process and techniques for adjusting the colour composition of recorded motion pictures, video images or still images either by hand in a photographic laboratory or digitally.",0211,0.46589583
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/52cf3037-ab53-4806-85ed-7fd21ea7f6a1,knowledge,sector-specific,Groovy,"Groovy software techniques
Groovy programming language
Groorvy software development",,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Groovy.",0613,0.6097615
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/53780150-1581-4ae6-b435-34068c172caf,knowledge,sector-specific,Vyper,Vyper software,,released,2024-02-14T17:21:44.181Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Vyper.",0613,0.5288212
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/541561bc-510c-4a99-881c-2d8bf5a85462,skill/competence,cross-sector,use technical drawing software,"design creation using specialist software
design using specialist software
design with specialist software
using of technical drawing software
usage of technical drawing software
technical drawing software usage
designing using specialist software
use of technical drawing software
designing with specialist software
create designs with specialist software
using technical drawing software",,released,2024-02-09T17:29:10.678Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Create technical designs and technical drawings using specialised software.,S5.6.3,0.4671576
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/54924a2c-daca-40d3-9716-4b38ceb04f38,knowledge,cross-sector,algorithms,"formulae
formulas
algorithm
algorithmic",,released,2024-02-09T17:29:11.47Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The self-contained step-by-step sets of operations that carry out calculations, data processing and automated reasoning, usually to solve problems.",0612,0.56773573
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/54971fec-1c2f-49c0-9396-2f0c9fa5c8c0,knowledge,sector-specific,LAMS,Learning Activity Management System,,released,2024-02-09T17:29:16.725Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The computer program LAMS is a e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs. It is developed by the LAMS Foundation.",0413,0.48244712
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/54f78038-58a8-46cb-9633-41ade03c07b7,skill/competence,sector-specific,study topics,"studying topics
study topic
research topics
investigate topics",,released,2024-02-09T17:29:12.952Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Carry out effective research on relevant topics to be able to produce summary information appropriate to different audiences. The research may involve looking at books, journals, the internet, and/or verbal discussions with knowledgeable persons.",S2.1.1,0.51244515
